ID,BARANGAY,DATE COMMITTED,MONTH COMMITTED,DAY COMMITTED,YEAR COMMITTED,TIME COMMITTED,OFFENSE,VICTIMS Age,VICTIMS Gender,SUSPECTS Age,SUSPECTS Gender,VICTIMS COUNT,SUSPECTS COUNT,VEHICLE KIND,LONGITUDE,LATITUDE,RAINFALL,TMAX,TMIN,WIND_SPEED,WIND_DIRECTION
1,Anonas,1/16/2019,1,16,2019,11:00:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,47.0,M,27.0,M,1,1,"MOTORCYCLE,TRICYCLE",120.5866356,15.9933413,0.0,32.1,21.0,2.0,180.0
2,Nancayasan,1/17/2019,1,17,2019,2:15:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,23.0,M,20.0,M,1,1,MOTORCYCLE,120.5783984,15.9493684,0.0,31.0,21.0,2.0,160.0
3,Nancayasan,2/3/2019,2,3,2019,11:06:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,31.0,M,29.0,M,1,1,"JEEP,MOTORCYCLE",120.5783558,15.9494503,0.0,30.2,21.0,2.0,160.0
4,Nancayasan,2/3/2019,2,3,2019,11:06:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,31.0,M,29.0,M,1,1,"JEEP,MOTORCYCLE",120.5783066,15.9495398,0.0,30.2,21.0,2.0,160.0
5,Nancamaliran East,2/18/2019,2,18,2019,17:50:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,27.0,M,31.0,M,1,1,"BICYCLE,CAR",120.558917,15.9706284,0.0,32.3,20.6,3.0,180.0
6,Cabuloan,2/21/2019,2,21,2019,12:05:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,78.0,M,56.0,M,1,1,CAR,120.6074994,15.9769154,0.0,32.5,21.0,2.0,160.0
7,Poblacion,2/23/2019,2,23,2019,16:35:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,31.0,F,20.0,M,1,1,"CAR,MOTORCYCLE",120.571783,15.9700002,0.0,31.5,20.0,2.0,180.0
8,San Vicente,2/23/2019,2,23,2019,12:14:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,59.0,M,59.0,M,1,1,TRUCK,120.5724511,15.9857723,0.0,31.5,20.0,2.0,180.0
9,Nancayasan,2/24/2019,2,24,2019,15:10:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,54.0,M,52.0,M,1,1,"CAR,TRUCK",120.5782573,15.9496307,0.0,32.1,21.2,2.0,340.0
10,Nancayasan,3/4/2019,3,4,2019,23:45:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,55.0,M,49.0,M,2,1,"MOTORCYCLE,TRUCK",120.5782054,15.9497279,0.0,33.5,22.0,3.0,180.0
11,Anonas,3/14/2019,3,14,2019,15:59:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,56.0,M,25.0,M,1,1,"PICK-UP,TRUCK",120.5807113,15.9944827,15.0,33.5,22.5,3.0,320.0
12,Anonas,3/14/2019,3,14,2019,22:30:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,22.0,M,29.0,M,2,1,"MOTORCYCLE,TRUCK",120.585936,15.9933697,15.0,33.5,22.5,3.0,320.0
13,Poblacion,3/14/2019,3,14,2019,10:55:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,24.0,M,24.0,M,2,2,"CAR,PICK-UP",120.5716726,15.9704889,15.0,33.5,22.5,3.0,320.0
14,San Vicente,3/14/2019,3,14,2019,16:58:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,31.0,F,31.0,F,2,2,"CAR,MOTORCYCLE",120.5725017,15.9860231,15.0,33.5,22.5,3.0,320.0
15,Catablan,3/15/2019,3,15,2019,11:10:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,63.0,M,63.0,M,2,2,"CAR,TRICYCLE",120.503863,15.9607357,0.0,31.4,22.4,3.0,340.0
16,San Vicente,3/16/2019,3,16,2019,19:40:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,40.0,M,40.0,M,3,1,"TRICYCLE,WAGON",120.5725629,15.9862866,0.0,33.2,22.5,3.0,180.0
17,Camantiles,3/17/2019,3,17,2019,11:41:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,45.0,M,14.0,M,1,1,"CAR,MOTORCYCLE",120.5458919,15.9893762,0.0,33.0,23.0,2.0,160.0
18,San Vicente,3/17/2019,3,17,2019,20:50:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,49.0,M,43.0,M,1,1,TRICYCLE,120.5726268,15.9865527,0.0,33.0,23.0,2.0,160.0
19,Labit Proper,3/18/2019,3,18,2019,19:05:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,20.0,M,34.0,M,1,1,MOTORCYCLE,120.5300795,15.9564839,2.4,34.5,23.0,3.0,180.0
20,Nancayasan,3/18/2019,3,18,2019,0:38:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,25.0,M,32.0,F,2,1,"CAR,MOTORCYCLE",120.5781509,15.9498297,2.4,34.5,23.0,3.0,180.0
21,San Vicente,3/24/2019,3,24,2019,17:15:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,67.0,F,27.0,M,1,1,CAR,120.5727039,15.9868521,0.0,34.4,22.6,3.0,160.0
22,Anonas,3/26/2019,3,26,2019,23:45:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,33.0,M,26.0,M,2,1,"CAR,TRICYCLE",120.5763339,16.0028331,0.0,34.5,23.0,3.0,180.0
23,Nancayasan,4/2/2019,4,2,2019,0:15:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,36.0,M,42.0,M,1,1,"MOTORCYCLE,TRUCK",120.5780923,15.9499308,7.4,33.0,24.0,3.0,180.0
24,Nancayasan,4/2/2019,4,2,2019,15:20:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,47.0,M,31.0,M,1,1,"BUS,TRICYCLE",120.578051,15.9500318,7.4,33.0,24.0,3.0,180.0
25,Nancayasan,4/4/2019,4,4,2019,7:50:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,43.0,M,32.0,M,2,1,"TRICYCLE,TRUCK",120.5780124,15.9501201,5.6,35.0,24.0,3.0,180.0
26,Nancayasan,4/5/2019,4,5,2019,14:30:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,50.0,F,32.0,F,1,1,"CAR,PICK-UP",120.5779459,15.9502826,0.0,34.0,25.0,3.0,360.0
27,San Vicente,4/5/2019,4,5,2019,19:50:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,26.0,F,48.0,M,1,1,"CAR,NOT INDICATED",120.5727492,15.9870773,0.0,34.0,25.0,3.0,360.0
28,Catablan,4/6/2019,4,6,2019,18:27:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,57.0,M,57.0,M,2,2,"TRICYCLE,VAN",120.5039429,15.9612193,0.0,32.8,24.0,3.0,340.0
29,Catablan,4/6/2019,4,6,2019,19:35:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,24.0,M,46.0,M,2,1,"MOTORCYCLE,TRUCK",120.5032721,15.9618053,0.0,32.8,24.0,3.0,340.0
30,San Vicente,4/6/2019,4,6,2019,9:50:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,46.0,M,46.0,M,6,1,TRICYCLE,120.5728024,15.9872999,0.0,32.8,24.0,3.0,340.0
31,San Vicente,4/6/2019,4,6,2019,9:50:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,46.0,M,46.0,M,6,1,TRICYCLE,120.572861,15.987548,0.0,32.8,24.0,3.0,340.0
32,Camanang,4/8/2019,4,8,2019,9:45:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,5.0,F,45.0,M,1,1,MOTORCYCLE,120.5800905,15.9635428,0.0,35.0,24.5,3.0,180.0
33,Nancayasan,4/15/2019,4,15,2019,14:00:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,62.0,M,56.0,M,1,1,"CAR,TRUCK",120.5778767,15.9504298,-1.0,31.5,25.0,3.0,160.0
34,Cayambanan,4/18/2019,4,18,2019,3:34:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,25.0,M,25.0,M,2,2,NOT INDICATED,120.5875635,15.9942221,0.0,31.8,24.6,2.0,360.0
35,Nancayasan,4/25/2019,4,25,2019,23:28:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,37.0,M,37.0,M,1,1,MOTORCYCLE,120.5778022,15.9506089,0.0,36.0,25.0,4.0,360.0
36,Palina West,5/3/2019,5,3,2019,23:05:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,49.0,M,54.0,M,1,1,MOTORCYCLE,120.5477044,15.9607945,0.0,34.0,25.6,2.0,340.0
37,Anonas,5/7/2019,5,7,2019,19:15:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,52.0,F,49.0,M,1,1,VAN,120.5854138,15.993436,-1.0,33.2,25.0,2.0,180.0
38,Anonas,5/7/2019,5,7,2019,21:25:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,35.0,M,63.0,M,1,1,MOTORCYCLE,120.580066,15.9948331,-1.0,33.2,25.0,2.0,180.0
39,San Vicente,5/8/2019,5,8,2019,12:55:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,52.0,M,36.0,M,1,1,TRUCK,120.5729249,15.9878116,10.4,32.0,25.0,2.0,180.0
40,Nancayasan,5/9/2019,5,9,2019,22:30:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,31.0,M,49.0,M,2,1,"MOTORCYCLE,TRUCK",120.5777343,15.950765,1.8,32.5,25.0,2.0,160.0
41,Camanang,5/11/2019,5,11,2019,3:40:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,32.0,M,36.0,M,1,1,"BUS,TRUCK",120.593963,15.954041,5.8,31.0,25.0,2.0,160.0
42,Nancamaliran West,5/11/2019,5,11,2019,22:55:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,29.0,M,26.0,M,1,1,"TRICYCLE,TRUCK",120.5420506,15.9770408,5.8,31.0,25.0,2.0,160.0
43,Pinmaludpod,5/11/2019,5,11,2019,15:35:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,61.0,M,36.0,M,1,1,"JEEP,TRUCK",120.510639,15.979356,5.8,31.0,25.0,2.0,160.0
44,Anonas,5/22/2019,5,22,2019,15:12:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,33.0,M,47.0,M,1,1,"MOTORCYCLE,VAN",120.5795462,15.9950533,0.0,34.5,26.0,3.0,340.0
45,Nancayasan,6/1/2019,6,1,2019,23:10:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,47.0,M,25.0,M,2,1,MOTORCYCLE,120.5776758,15.9508911,17.0,36.0,26.0,3.0,180.0
46,Nancayasan,6/1/2019,6,1,2019,23:20:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,25.0,M,40.0,M,1,1,MOTORCYCLE,120.5775919,15.9510721,17.0,36.0,26.0,3.0,180.0
47,San Vicente,6/1/2019,6,1,2019,20:30:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,27.0,M,47.0,M,1,1,"MOTORCYCLE,TRICYCLE",120.573002,15.9880981,17.0,36.0,26.0,3.0,180.0
48,Catablan,6/2/2019,6,2,2019,2:05:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,35.0,M,35.0,M,1,1,MOTORCYCLE,120.5025402,15.9621456,28.4,36.5,25.0,2.0,160.0
49,Cayambanan,6/6/2019,6,6,2019,22:30:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,34.0,M,34.0,M,1,1,MOTORCYCLE,120.5889901,15.9957879,0.0,36.5,26.5,2.0,180.0
50,Poblacion,6/11/2019,6,11,2019,16:20:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,13.0,F,28.0,M,1,1,MOTORCYCLE,120.5715581,15.9710289,2.6,31.6,25.4,2.0,180.0
51,San Vicente,6/13/2019,6,13,2019,15:10:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,27.0,M,58.0,M,1,1,"MOTORCYCLE,VAN",120.5730766,15.9884103,3.4,30.0,25.8,2.0,180.0
52,Nancayasan,6/14/2019,6,14,2019,16:50:00,RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY - RPC Art 365,26.0,M,23.0,M,1,1,MOTORCYCLE,120.5774961,15.9512692,23.0,32.5,25.0,3.0,180.0
53,Anonas,6/17/2019,6,17,2019,11:10:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,52.0,M,72.0,M,1,1,CAR,120.5850197,15.9935497,0.0,35.6,25.6,2.0,90.0
54,Nancayasan,6/26/2019,6,26,2019,11:25:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,32.0,M,49.0,M,1,1,BUS,120.5774176,15.9514509,38.8,31.8,24.8,2.0,160.0
55,Poblacion,7/1/2019,7,1,2019,14:00:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,31.0,M,48.0,M,1,1,"CAR,TRICYCLE",120.571457,15.9715253,2.4,30.7,24.5,3.0,160.0
56,Santo Domingo,7/10/2019,7,10,2019,18:25:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,73.0,F,51.0,M,2,1,"PICK-UP,TRICYCLE",120.5568436,15.96331,12.0,29.0,25.5,3.0,160.0
57,Pinmaludpod,7/13/2019,7,13,2019,16:25:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,33.0,M,26.0,M,1,1,"MOTORCYCLE,PICK-UP",120.5101011,15.9979025,0.0,33.5,26.0,4.0,320.0
58,San Vicente,7/13/2019,7,13,2019,11:25:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,30.0,M,21.0,M,1,1,MOTORCYCLE,120.5731484,15.9887097,0.0,33.5,26.0,4.0,320.0
59,Nancamaliran East,7/17/2019,7,17,2019,19:40:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,29.0,M,22.0,M,1,1,"CAR,MOTORCYCLE",120.5592151,15.9706796,31.4,29.0,23.8,3.0,160.0
60,Nancamaliran East,7/24/2019,7,24,2019,8:10:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,27.0,M,53.0,M,1,1,"MOTORCYCLE,PICK-UP",120.5597075,15.9707922,7.8,33.0,25.0,3.0,340.0
61,Nancayasan,7/24/2019,7,24,2019,9:55:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,30.0,M,30.0,M,1,1,CAR,120.5773204,15.9516581,7.8,33.0,25.0,3.0,340.0
62,Poblacion,7/24/2019,7,24,2019,6:25:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,34.0,M,29.0,M,1,1,"TRUCK,VAN",120.5713159,15.9721279,7.8,33.0,25.0,3.0,340.0
63,Poblacion,7/24/2019,7,24,2019,7:50:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,24.0,M,22.0,M,1,1,"MOTORCYCLE,VAN",120.5711935,15.9726831,7.8,33.0,25.0,3.0,340.0
64,Nancamaliran East,7/25/2019,7,25,2019,16:55:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,18.0,M,31.0,M,1,1,NOT INDICATED,120.5596809,15.9711837,7.0,32.0,25.0,4.0,320.0
65,Nancamaliran West,7/25/2019,7,25,2019,18:03:00,RECKLESS IMPRUDENCE RESULTING TO MULTIPLE DAMAGE TO PROPERTY - RPC Art 365,45.0,M,35.0,M,2,1,"MOTORCYCLE,TRICYCLE,WAGON",120.5431152,15.9764829,7.0,32.0,25.0,4.0,320.0
66,Camantiles,7/27/2019,7,27,2019,12:20:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,14.0,M,40.0,M,1,1,"BICYCLE,TRUCK",120.5382013,15.9983298,2.8,32.6,24.0,2.0,160.0
67,Pinmaludpod,7/31/2019,7,31,2019,16:45:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,28.0,M,48.0,M,1,1,JEEP,120.512587,15.9798106,4.8,29.8,24.0,3.0,180.0
68,Camantiles,8/3/2019,8,3,2019,19:10:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,30.0,M,42.0,M,1,1,TRUCK,120.5444174,15.9902717,34.2,29.0,24.0,2.0,180.0
69,San Vicente,8/4/2019,8,4,2019,12:40:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,40.0,M,41.0,M,2,1,"BUS,CAR",120.5732176,15.9890192,12.4,30.0,24.0,2.0,160.0
70,Nancamaliran West,8/10/2019,8,10,2019,9:38:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,48.0,M,19.0,M,1,1,MOTORCYCLE,120.545862,15.97505,18.6,28.9,24.0,2.0,90.0
71,Nancayasan,8/12/2019,8,12,2019,12:45:00,RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY - RPC Art 365,30.0,M,35.0,M,1,1,"MULTICAB,PICK-UP",120.5772273,15.951868,11.0,30.5,25.0,3.0,270.0
72,Nancayasan,8/14/2019,8,14,2019,20:00:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,46.0,M,72.0,M,1,1,VAN,120.5771102,15.9521226,3.1,30.5,24.8,2.0,160.0
73,Pinmaludpod,8/19/2019,8,19,2019,1:30:00,RECKLESS IMPRUDENCE RESULTING TO HOMICIDE - RPC Art 365,37.0,M,22.0,M,1,2,"CAR,MOTORCYCLE,TRICYCLE",120.5117619,15.9981021,-1.0,31.0,25.5,2.0,360.0
